record_id,species_name,common_name,plant_type,region,country,year,height_m,dbh_cm,wood_density_g_cm3,agb_kg,bgb_kg,carbon_storage_kg,total_CO2eq_stored_kg,annual_C_kg,annual_CO2_kg,annual_growth_rate_pct,co2_absorption_change_rate_pct,mortality_rate,leaf_area_index,canopy_m2,root_depth_m,mean_temp_C,annual_rainfall_mm,soil_type,soil_carbon_percent,altitude_m,latitude,longitude,urban_density_index,land_use_type,maintenance_cost_usd_per_year,policy_zone,iucn_status,biodiversity_value,habitat_loss_percent,protected_area_presence,invasive_risk_score,source
R000669,Zinnia elegans var4,Zinnia (var4),flower,Europe,France,2017,0.551,0.0,,0.043,0.005,0.023,0.083,0.013,0.0477,57.34,1.7,0.05,1.409,0.196,0.07,8.41,528.4,Silty,2.87,0.0,53.298109,-158.897171,17.54,green_roof,40.4,moderate,DD,0.269,16.12,1,0.009,Hybrid-synthetic (modeled from literature distributions)
R000670,Citrus sinensis var4,Orange tree (var4),tree,Asia,Philippines,2017,6.8,38.077,0.487,480.452,121.375,282.859,1037.149,0.2829,1.0371,0.1,0.64,0.0169,3.613,65.121,1.838,17.17,533.6,Loam-Clay,2.825,56.1,43.390842,-169.692586,36.55,community_garden,93.98,low,VU,0.549,16.36,0,0.343,Hybrid-synthetic (modeled from literature distributions)
R000671,Chrysanthemum morifolium var7,Chrysanthemum (var7),flower,South America,Colombia,2008,0.648,0.0,,0.102,0.021,0.058,0.212,0.0175,0.064,30.13,0.69,0.2418,0.738,1.017,0.24,26.67,1864.0,Clay,3.087,1311.2,46.596618,-6.300225,17.86,green_roof,52.04,high,DD,0.54,25.49,0,0.0,Hybrid-synthetic (modeled from literature distributions)
R000672,Albizia saman var7,Rain tree (var7),tree,Oceania,Australia,2023,14.16,49.282,0.604,2076.009,535.786,1227.544,4500.994,79.6374,292.0039,6.49,0.02,0.0269,1.699,49.787,2.169,16.43,1448.4,Loam,3.751,99.2,-31.767667,80.020116,17.95,community_garden,27.13,low,LC,0.601,31.28,0,0.182,Hybrid-synthetic (modeled from literature distributions)
R000673,Cecropia peltata var6,Trumpet tree (var6),tree,South America,Colombia,2010,5.182,46.741,0.597,676.039,155.011,390.594,1432.176,35.2329,129.1874,9.02,0.47,0.037,2.971,91.845,3.01,17.77,1501.4,Loam-Clay,0.787,238.5,-47.197192,150.287481,15.96,urban_park,77.71,low,EN,0.148,0.0,0,0.035,Hybrid-synthetic (modeled from literature distributions)
R000674,Quercus robur var3,English oak (var3),tree,Africa,Uganda,2015,14.401,32.026,0.437,644.998,141.713,369.754,1355.766,16.7764,61.5133,4.54,-0.47,0.0142,4.683,67.13,1.604,30.98,575.1,Peaty,2.115,926.6,56.209295,-103.270149,41.94,natural_forest,16.36,none,LC,0.551,8.48,0,0.0,Hybrid-synthetic (modeled from literature distributions)
R000675,Picea abies var7,Norway spruce (var7),tree,Asia,Indonesia,2002,4.804,49.992,0.55,660.677,180.503,395.354,1449.633,24.9115,91.3421,6.3,-0.88,0.0169,2.742,49.181,0.5,16.83,1421.8,Peaty,1.387,325.8,59.2278,51.938232,23.56,urban_park,35.14,high,EN,0.317,17.88,0,0.138,Hybrid-synthetic (modeled from literature distributions)
R000676,Bougainvillea glabra var3,Bougainvillea (var3),flower,Europe,Poland,2019,0.606,0.0,,0.167,0.019,0.088,0.321,0.0009,0.0032,1.0,0.44,0.1995,1.265,1.12,0.423,18.91,1667.2,Sandy,1.632,390.8,42.251402,97.69348,5.63,garden,26.67,high,EN,0.403,5.86,0,0.0,Hybrid-synthetic (modeled from literature distributions)
R000677,Quercus robur var6,English oak (var6),tree,Asia,Vietnam,2016,11.322,38.878,0.558,954.239,273.883,577.217,2116.464,21.854,80.1313,3.79,2.67,0.0188,3.552,68.876,1.695,23.15,1695.2,Clay,2.528,1282.4,52.912257,76.812319,38.32,campus,57.73,none,CR,0.826,17.67,0,0.334,Hybrid-synthetic (modeled from literature distributions)
R000678,Lavandula angustifolia var6,Lavender (var6),flower,South America,Peru,2019,0.713,0.0,,0.215,0.031,0.116,0.424,0.0287,0.1054,24.85,2.52,0.1811,1.19,0.727,0.453,21.96,751.7,Loam,2.493,306.2,45.512235,-54.844939,12.7,urban_park,46.23,moderate,NT,0.761,0.0,1,0.106,Hybrid-synthetic (modeled from literature distributions)
R000679,Quercus robur,English oak (common),tree,Asia,India,2008,16.243,20.65,0.434,300.69,72.463,175.382,643.067,7.9484,29.1443,4.53,3.99,0.0115,2.871,108.86,1.039,26.62,1978.1,Loam-Clay,2.546,0.0,38.869455,141.093892,34.77,natural_forest,94.61,moderate,DD,0.174,9.68,1,0.0,Hybrid-synthetic (modeled from literature distributions)
R000680,Citrus sinensis var3,Orange tree (var3),tree,North America,Mexico,2006,7.955,5.0,0.408,8.124,2.151,4.829,17.708,0.2839,1.0408,5.88,5.08,0.0206,3.012,117.938,1.969,9.78,127.5,Peaty,2.196,0.0,-19.74457,71.544854,41.34,urban_park,29.26,none,LC,0.805,0.0,0,0.285,Hybrid-synthetic (modeled from literature distributions)
R000681,Chrysanthemum morifolium var2,Chrysanthemum (var2),flower,Europe,Poland,2017,0.795,0.0,,0.126,0.027,0.072,0.265,0.0126,0.0461,17.42,0.8,0.05,1.078,1.256,0.306,11.06,799.7,Peaty,1.945,0.0,0.442444,76.000008,18.02,green_roof,44.66,moderate,VU,0.471,4.79,1,0.0,Hybrid-synthetic (modeled from literature distributions)
R000682,Salix babylonica var4,Weeping willow (var4),tree,South America,Peru,2014,12.004,33.754,0.607,830.66,185.184,477.447,1750.638,25.3627,92.9967,5.31,4.25,0.0174,2.595,1.452,2.191,18.01,1330.2,Silty,1.228,404.1,-43.910067,-66.954704,5.49,urban_park,13.79,moderate,NT,0.493,0.26,0,0.0,Hybrid-synthetic (modeled from literature distributions)
R000683,Prunus domestica,Plum (common),tree,South America,Brazil,2017,1.5,19.899,0.778,46.187,9.651,26.244,96.227,1.4954,5.4832,5.7,-3.41,0.01,5.048,1.0,1.856,17.9,1766.4,Sandy,3.699,385.2,-11.480865,-3.612537,31.93,residential_yard,23.16,moderate,LC,0.681,1.72,0,0.21,Hybrid-synthetic (modeled from literature distributions)
R000684,Lavandula angustifolia var7,Lavender (var7),flower,Europe,Italy,2018,0.976,0.0,,0.031,0.007,0.018,0.065,0.0064,0.0235,35.98,1.78,0.05,0.723,0.792,0.333,8.75,770.6,Clay,2.367,3.5,-36.477763,-90.539162,32.23,community_garden,7.53,high,CR,0.464,22.15,0,0.0,Hybrid-synthetic (modeled from literature distributions)
R000685,Rosa spp. var8,Rose (var8),flower,Asia,Indonesia,2024,0.643,0.0,,0.136,0.019,0.073,0.267,0.0584,0.214,80.03,2.16,0.4696,0.887,0.411,0.079,11.89,1526.6,Silty,2.543,729.3,44.304011,61.750004,18.65,community_garden,3.13,none,EN,0.262,0.0,0,0.157,Hybrid-synthetic (modeled from literature distributions)
R000686,Mangifera indica var4,Mango (var4),tree,Europe,United Kingdom,2012,21.537,5.0,0.45,24.223,8.068,15.177,55.648,0.3373,1.2369,2.22,-0.06,0.0358,2.311,1.0,2.403,14.96,1205.8,Chalky,1.79,401.8,31.322473,74.869743,56.33,campus,21.95,low,VU,0.766,18.73,1,0.0,Hybrid-synthetic (modeled from literature distributions)
R000687,Prunus domestica var4,Plum (var4),tree,Europe,Italy,2017,10.277,25.295,0.502,330.133,78.992,192.289,705.059,10.0547,36.8673,5.23,-0.12,0.0232,2.138,67.375,1.605,14.23,1063.5,Sandy,1.146,0.0,35.585048,-18.349472,23.08,residential_yard,15.36,low,VU,0.75,0.0,0,0.125,Hybrid-synthetic (modeled from literature distributions)
R000688,Delonix regia var8,Flame tree (var8),tree,North America,Mexico,2023,6.548,76.923,0.493,1908.47,516.547,1139.758,4179.112,92.9453,340.7993,8.15,0.57,0.0104,3.031,3.503,2.158,14.64,978.4,Loam-Clay,1.541,686.1,56.621051,132.622635,41.54,green_roof,39.53,none,CR,0.67,7.69,0,0.0,Hybrid-synthetic (modeled from literature distributions)
R000689,Prunus africana var4,African cherry (var4),tree,North America,Canada,2011,16.008,25.803,0.506,539.088,152.96,325.263,1192.63,22.9987,84.3287,7.07,1.71,0.0104,1.443,81.89,0.5,1.26,1247.6,Loam,1.001,582.1,13.129812,63.360562,10.77,residential_yard,45.7,low,DD,0.721,10.51,0,0.143,Hybrid-synthetic (modeled from literature distributions)
R000690,Milicia excelsa var2,Iroko (var2),tree,North America,Mexico,2006,19.75,40.611,0.48,1563.727,482.75,961.844,3526.762,70.2625,257.6292,7.3,-1.18,0.023,3.188,128.999,1.926,8.03,1384.6,Loam,2.346,766.8,-17.573607,144.164546,20.06,campus,56.46,moderate,NT,0.578,4.19,1,0.244,Hybrid-synthetic (modeled from literature distributions)
R000691,Salix babylonica var6,Weeping willow (var6),tree,Asia,China,2019,11.055,20.546,0.685,319.755,83.63,189.591,695.166,15.4215,56.5454,8.13,1.69,0.012,2.229,86.046,2.799,21.06,953.2,Clay,0.159,0.0,35.69387,-137.10665,40.67,garden,25.73,none,LC,0.361,21.07,0,0.17,Hybrid-synthetic (modeled from literature distributions)
R000692,Delonix regia,Flame tree (common),tree,Oceania,Fiji,2015,1.551,54.422,0.382,175.279,44.715,103.397,379.123,1.2318,4.5166,1.19,2.33,0.0148,3.427,88.376,0.983,22.26,2057.5,Peaty,0.684,452.5,-37.082156,-34.273654,17.45,urban_park,33.21,none,EN,0.278,11.31,0,0.202,Hybrid-synthetic (modeled from literature distributions)
R000693,Alnus glutinosa var7,Alder (var7),tree,South America,Argentina,2015,21.454,49.044,0.665,3430.301,1078.801,2119.278,7770.687,91.7395,336.378,4.33,1.35,0.0174,1.775,81.718,1.955,27.26,1201.0,Peaty,1.196,585.0,-48.641474,-73.189189,18.57,residential_yard,88.36,high,NT,0.221,13.33,0,0.0,Hybrid-synthetic (modeled from literature distributions)
R000694,Lavandula angustifolia var6,Lavender (var6),flower,Europe,Spain,2007,0.556,0.0,,0.151,0.022,0.081,0.298,0.0488,0.1789,59.98,1.57,0.0957,1.126,0.298,0.265,1.78,708.7,Loam-Clay,2.836,507.4,-42.428815,-32.286401,26.35,garden,2.34,none,CR,0.471,8.13,0,0.03,Hybrid-synthetic (modeled from literature distributions)
R000695,Cinnamomum verum,Cinnamon (common),tree,North America,Mexico,2001,16.1,18.226,0.568,303.904,101.356,190.472,698.397,9.7301,35.6772,5.11,1.14,0.0458,3.981,69.57,0.5,-13.08,1244.7,Peaty,1.15,320.3,15.649923,-155.273513,48.33,green_roof,14.7,high,DD,0.845,15.4,0,0.0,Hybrid-synthetic (modeled from literature distributions)
R000696,Prunus africana var2,African cherry (var2),tree,North America,United States,2022,7.757,36.494,0.43,444.07,115.444,262.971,964.229,10.7885,39.558,4.1,-0.81,0.0467,4.92,49.871,2.775,22.59,1158.1,Peaty,3.461,1187.2,-33.082331,-168.652013,68.96,community_garden,27.04,moderate,DD,0.739,11.72,1,0.052,Hybrid-synthetic (modeled from literature distributions)
R000697,Quercus robur var5,English oak (var5),tree,Africa,Ethiopia,2006,22.926,74.95,0.494,6355.76,1513.677,3698.635,13561.663,46.224,169.4879,1.25,-0.51,0.0272,2.238,68.438,2.817,25.16,555.7,Silty,1.712,1612.5,-21.421357,46.155628,20.19,roadside,77.47,moderate,VU,0.179,18.59,0,0.0,Hybrid-synthetic (modeled from literature distributions)
R000698,Picea abies var5,Norway spruce (var5),tree,Asia,Thailand,2008,9.053,48.49,0.517,1100.409,380.354,695.959,2551.849,21.8883,80.257,3.15,2.02,0.0367,2.606,1.0,1.664,20.62,1475.4,Loam,0.1,357.5,0.883625,-6.887715,6.97,residential_yard,22.48,high,CR,0.626,29.34,1,0.011,Hybrid-synthetic (modeled from literature distributions)
R000699,Populus nigra var8,Black poplar (var8),tree,Europe,Germany,2015,8.298,53.275,0.631,1486.432,506.153,936.515,3433.889,11.9229,43.7174,1.27,0.71,0.01,3.979,60.117,1.833,15.37,1051.2,Silty,1.486,394.8,-57.499581,-156.153779,29.82,campus,28.35,high,DD,0.575,9.09,0,0.309,Hybrid-synthetic (modeled from literature distributions)
R000700,Alnus glutinosa var7,Alder (var7),tree,Europe,Spain,2008,7.794,44.738,0.442,689.167,179.085,408.079,1496.288,23.6581,86.7462,5.8,-0.38,0.0422,2.078,24.047,0.532,11.33,597.8,Silty,1.961,398.9,-0.03685,-45.358128,53.53,garden,40.7,low,CR,0.341,17.46,0,0.0,Hybrid-synthetic (modeled from literature distributions)
R000701,Salix babylonica var6,Weeping willow (var6),tree,Africa,Ethiopia,2008,11.971,15.757,0.772,229.426,57.644,134.923,494.718,5.1237,18.7871,3.8,-0.07,0.01,2.837,42.099,1.06,24.43,50.0,Loam-Clay,1.4,784.5,-21.286553,168.359111,47.84,campus,13.06,high,EN,0.73,0.0,0,0.281,Hybrid-synthetic (modeled from literature distributions)
R000702,Milicia excelsa var5,Iroko (var5),tree,Asia,Vietnam,2004,11.263,53.047,0.596,1889.107,654.9,1195.683,4384.172,64.7731,237.5015,5.42,0.71,0.01,1.946,46.121,0.708,20.42,921.6,Silty,0.629,418.6,-30.062413,-60.394826,18.73,urban_park,111.34,low,EN,0.373,17.6,0,0.391,Hybrid-synthetic (modeled from literature distributions)
R000703,Hibiscus rosa-sinensis var8,Hibiscus (var8),flower,Asia,Vietnam,2016,0.508,0.0,,0.05,0.009,0.028,0.101,0.0082,0.0301,29.82,2.21,0.2911,1.107,0.457,0.29,27.82,1344.1,Peaty,2.829,286.0,26.039863,-144.047753,21.4,green_roof,4.53,high,VU,0.135,33.72,0,0.056,Hybrid-synthetic (modeled from literature distributions)
R000704,Picea abies,Norway spruce (common),tree,South America,Chile,2001,19.834,5.0,0.607,30.104,8.824,18.296,67.087,0.9105,3.3384,4.98,-1.27,0.0274,1.699,39.014,0.89,17.1,2451.7,Silty,0.188,1127.1,48.069352,100.848186,7.99,roadside,56.3,low,LC,0.567,8.63,0,0.139,Hybrid-synthetic (modeled from literature distributions)
R000705,Cecropia peltata var7,Trumpet tree (var7),tree,Europe,Spain,2020,9.451,14.587,0.46,92.554,26.557,55.982,205.267,0.056,0.2053,0.1,-3.21,0.0125,1.699,86.127,0.5,11.72,1197.6,Sandy,1.753,261.5,49.994805,151.382804,45.55,community_garden,12.43,moderate,VU,0.541,13.59,1,0.332,Hybrid-synthetic (modeled from literature distributions)
R000706,Alnus glutinosa,Alder (common),tree,Europe,Italy,2017,11.544,19.795,0.654,295.985,91.484,182.11,667.738,0.2623,0.9619,0.14,1.28,0.016,3.548,71.657,0.963,-5.78,746.5,Loam-Clay,5.113,0.4,42.48185,165.079147,62.86,residential_yard,30.19,moderate,LC,0.338,0.0,0,0.429,Hybrid-synthetic (modeled from literature distributions)
R000707,Prunus domestica var3,Plum (var3),tree,Africa,Tanzania,2021,1.5,64.512,0.534,333.414,106.224,206.63,757.642,8.4692,31.0538,4.1,-1.79,0.0102,2.118,54.978,1.577,22.45,828.0,Peaty,2.944,795.5,-11.249488,114.514162,62.51,campus,16.03,low,VU,0.643,14.4,0,0.319,Hybrid-synthetic (modeled from literature distributions)
R000708,Moringa oleifera var6,Moringa (var6),tree,Europe,Poland,2016,19.178,53.266,0.618,3363.705,796.54,1955.315,7169.489,49.6922,182.2047,2.54,-0.85,0.022,3.811,74.061,1.028,8.49,1066.5,Silty,1.693,194.5,11.335686,154.275035,6.33,community_garden,20.13,none,EN,0.76,9.67,0,0.134,Hybrid-synthetic (modeled from literature distributions)
R000709,Pongamia pinnata var3,Karanja (var3),tree,North America,Mexico,2004,9.245,5.0,0.708,16.366,4.849,9.971,36.56,0.3673,1.3467,3.68,1.74,0.0316,2.043,77.422,1.944,13.29,1802.2,Loam-Clay,3.343,350.8,1.009986,30.925525,32.27,garden,18.23,moderate,EN,0.055,0.0,0,0.119,Hybrid-synthetic (modeled from literature distributions)
R000710,Tagetes erecta var5,Marigold (var5),flower,North America,United States,2002,0.676,0.0,,0.265,0.063,0.154,0.566,0.0015,0.0057,1.0,-0.66,0.0837,0.957,1.507,0.097,4.83,519.0,Loam,2.343,853.8,1.293794,-96.79253,6.56,green_roof,15.47,low,VU,0.717,7.47,0,0.026,Hybrid-synthetic (modeled from literature distributions)
R000711,Ginkgo biloba var3,Ginkgo (var3),tree,Oceania,New Zealand,2022,18.252,30.046,0.628,1035.089,310.718,632.53,2319.275,41.6167,152.5945,6.58,-4.13,0.0277,2.887,65.983,0.564,11.56,981.1,Clay,1.41,415.8,23.686023,-57.596664,11.77,natural_forest,12.01,moderate,EN,0.226,1.28,0,0.192,Hybrid-synthetic (modeled from literature distributions)
R000712,Alnus glutinosa var2,Alder (var2),tree,Oceania,Fiji,2016,27.118,37.698,0.479,1844.752,518.666,1110.807,4072.958,61.9114,227.0085,5.57,2.08,0.0199,1.626,8.533,0.736,23.76,1414.6,Silty,1.95,196.2,55.800025,-16.689157,31.77,natural_forest,40.03,low,NT,0.145,25.01,0,0.331,Hybrid-synthetic (modeled from literature distributions)
R000713,Eucalyptus globulus var4,Blue gum (var4),tree,Asia,Vietnam,2007,4.923,37.646,0.815,568.619,194.816,358.814,1315.652,0.3588,1.3157,0.1,2.49,0.0239,0.707,54.493,1.475,20.2,1014.6,Chalky,1.961,100.9,1.684931,118.88767,30.56,residential_yard,17.9,none,NT,0.706,10.29,0,0.0,Hybrid-synthetic (modeled from literature distributions)
R000714,Pinus radiata var6,Monterey pine (var6),tree,North America,United States,2003,8.862,5.0,0.633,14.035,2.869,7.945,29.13,0.3374,1.2372,4.25,-2.79,0.0427,4.212,63.635,0.5,10.7,100.0,Sandy,1.802,594.1,56.851117,70.247178,8.51,community_garden,30.3,none,LC,0.502,11.61,0,0.157,Hybrid-synthetic (modeled from literature distributions)
R000715,Citrus sinensis var4,Orange tree (var4),tree,South America,Brazil,2003,16.386,52.049,0.53,2353.127,773.782,1469.647,5388.707,72.0901,264.3302,4.91,2.59,0.0172,3.264,63.231,1.381,18.26,330.4,Clay,2.225,397.4,-51.116246,-49.369021,41.97,garden,25.73,none,DD,0.393,4.52,0,0.0,Hybrid-synthetic (modeled from literature distributions)
R000716,Cedrus deodara var8,Deodar cedar (var8),tree,Europe,Germany,2007,10.153,48.88,0.704,1707.379,535.85,1054.317,3865.83,43.1171,158.0961,4.09,-1.53,0.0399,2.343,33.478,2.557,4.26,476.1,Chalky,1.6,147.3,-31.676687,-84.358888,40.57,residential_yard,165.38,high,DD,0.34,11.2,0,0.086,Hybrid-synthetic (modeled from literature distributions)
R000717,Albizia saman,Rain tree (common),tree,Asia,Thailand,2005,7.342,51.292,0.601,1160.483,299.472,686.179,2515.989,9.415,34.5217,1.37,-0.33,0.01,2.577,83.15,1.027,28.56,517.9,Sandy,1.0,673.6,3.98652,-120.680681,28.78,urban_park,26.84,moderate,VU,0.776,19.77,0,0.0,Hybrid-synthetic (modeled from literature distributions)
R000718,Rosa spp. var4,Rose (var4),flower,North America,Mexico,2008,1.236,0.0,,0.084,0.011,0.045,0.163,0.0144,0.0527,32.28,-2.03,0.05,0.734,0.893,0.425,18.73,129.2,Peaty,0.299,0.0,22.221429,109.985986,54.9,community_garden,14.27,low,DD,0.481,0.0,0,0.0,Hybrid-synthetic (modeled from literature distributions)
R000719,Lantana camara var5,Lantana (var5),flower,Asia,Thailand,2019,0.804,0.0,,0.183,0.039,0.104,0.383,0.0388,0.1421,37.15,0.84,0.1085,1.348,0.951,0.092,21.74,1619.1,Silty,3.109,0.0,-20.433305,33.332525,7.88,natural_forest,4.49,moderate,VU,0.571,21.49,0,0.201,Hybrid-synthetic (modeled from literature distributions)
R000720,Rosa spp. var7,Rose (var7),flower,South America,Peru,2002,0.617,0.0,,0.15,0.019,0.079,0.29,0.0206,0.0756,26.05,1.98,0.0877,1.428,1.033,0.276,17.53,827.1,Silty,1.249,320.4,-13.854538,132.867293,9.77,residential_yard,5.31,moderate,EN,0.522,3.13,0,0.396,Hybrid-synthetic (modeled from literature distributions)
R000721,Picea abies var6,Norway spruce (var6),tree,Asia,Indonesia,2000,10.032,50.969,0.581,1514.489,388.312,894.317,3279.161,8.2389,30.2093,0.92,-1.46,0.0362,1.833,38.668,2.533,19.53,429.4,Sandy,3.107,1113.6,45.391043,-137.387794,29.2,garden,22.4,moderate,VU,0.414,27.63,1,0.206,Hybrid-synthetic (modeled from literature distributions)
R000722,Rosa spp.,Rose (common),flower,South America,Brazil,2022,0.379,0.0,,0.365,0.049,0.195,0.714,0.0749,0.2748,38.51,-0.08,0.1588,1.903,0.902,0.337,20.31,2293.7,Silty,1.223,0.0,-26.127472,-80.931934,22.74,community_garden,47.95,moderate,LC,0.494,18.74,0,0.0,Hybrid-synthetic (modeled from literature distributions)
R000723,Cinnamomum verum var5,Cinnamon (var5),tree,Europe,Italy,2007,12.769,41.322,0.738,1608.502,510.762,996.054,3652.197,47.5548,174.3677,4.77,-0.49,0.01,3.68,60.981,1.685,8.5,1148.7,Loam-Clay,0.796,1038.5,-34.242634,176.249589,16.88,urban_park,32.89,moderate,NT,0.277,9.18,0,0.137,Hybrid-synthetic (modeled from literature distributions)
R000724,Prunus domestica var3,Plum (var3),tree,South America,Colombia,2012,17.75,9.349,0.647,100.416,24.726,58.817,215.661,4.2294,15.5076,7.19,-1.36,0.01,2.317,50.563,1.552,13.43,1944.6,Loam,1.201,0.0,-32.241624,48.87228,4.34,garden,44.71,high,EN,0.289,10.57,0,0.269,Hybrid-synthetic (modeled from literature distributions)
R000725,Salix babylonica,Weeping willow (common),tree,Europe,United Kingdom,2013,11.703,74.361,0.407,2632.013,704.181,1568.011,5749.374,55.5964,203.8535,3.55,-0.56,0.0207,2.35,40.876,2.554,8.31,717.6,Chalky,2.553,324.1,55.503445,164.636945,20.63,campus,15.85,moderate,VU,0.548,29.13,1,0.082,Hybrid-synthetic (modeled from literature distributions)
R000726,Lantana camara,Lantana (common),flower,Europe,Spain,2006,0.502,0.0,,0.04,0.004,0.021,0.076,0.0047,0.0171,22.49,0.14,0.187,0.695,0.589,0.196,13.26,200.0,Loam-Clay,0.774,365.6,23.170531,-157.750967,37.41,roadside,40.28,low,NT,0.559,12.14,1,0.0,Hybrid-synthetic (modeled from literature distributions)
R000727,Pongamia pinnata var5,Karanja (var5),tree,Africa,Ethiopia,2014,16.551,60.1,0.501,2993.363,925.0,1841.631,6752.645,73.8738,270.8704,4.01,-0.69,0.0305,3.278,34.49,0.798,20.1,885.1,Peaty,2.209,393.6,26.073794,-107.996188,24.51,community_garden,28.49,moderate,DD,0.569,14.61,0,0.045,Hybrid-synthetic (modeled from literature distributions)
R000728,Hibiscus rosa-sinensis var4,Hibiscus (var4),flower,Asia,Indonesia,2000,0.1,0.0,,0.225,0.04,0.124,0.456,0.0685,0.2512,55.12,2.66,0.05,1.383,0.443,0.239,19.57,1277.9,Loam,3.37,0.0,53.974452,39.128447,31.79,urban_park,10.84,none,NT,0.591,5.19,0,0.003,Hybrid-synthetic (modeled from literature distributions)
R000729,Jacaranda mimosifolia var5,Jacaranda (var5),tree,Europe,France,2004,20.853,12.401,0.589,188.769,55.722,114.91,421.338,4.6596,17.0851,4.05,-1.48,0.0242,2.606,48.096,1.716,9.46,879.5,Chalky,1.662,157.9,-54.894782,-133.540781,10.93,community_garden,13.37,none,NT,0.604,20.57,0,0.403,Hybrid-synthetic (modeled from literature distributions)
R000730,Delonix regia var7,Flame tree (var7),tree,Asia,India,2015,3.083,44.854,0.589,365.307,114.778,225.64,827.348,9.2211,33.8106,4.09,0.98,0.0143,1.599,83.674,0.5,24.46,2643.9,Loam,2.399,0.0,17.847108,25.109363,44.04,green_roof,46.88,high,VU,0.59,4.9,0,0.272,Hybrid-synthetic (modeled from literature distributions)
R000731,Hibiscus rosa-sinensis var8,Hibiscus (var8),flower,Europe,Spain,2022,0.259,0.0,,0.135,0.033,0.079,0.29,0.0326,0.1194,41.18,-0.85,0.17,1.939,0.193,0.099,20.25,540.8,Loam-Clay,1.235,298.9,-1.332823,-120.989807,19.85,urban_park,33.15,moderate,LC,0.494,21.53,0,0.259,Hybrid-synthetic (modeled from literature distributions)
R000732,Tectona grandis var3,Teak (var3),tree,Africa,Tanzania,2024,5.12,54.816,0.411,632.711,144.957,365.504,1340.182,7.7371,28.3695,2.12,-1.3,0.0366,2.582,67.858,1.416,23.56,1074.2,Silty,0.1,0.0,48.145976,115.431317,10.06,roadside,40.46,high,NT,0.712,17.04,0,0.135,Hybrid-synthetic (modeled from literature distributions)
R000733,Milicia excelsa var3,Iroko (var3),tree,Europe,Spain,2000,13.453,5.0,0.634,21.334,5.642,12.679,46.489,0.4992,1.8303,3.94,0.31,0.01,3.945,58.487,1.731,11.88,981.6,Sandy,1.972,76.4,-11.722641,-30.959754,9.71,campus,22.19,high,EN,0.567,0.0,0,0.008,Hybrid-synthetic (modeled from literature distributions)
R000734,Betula pendula var7,Silver birch (var7),tree,Oceania,Australia,2006,1.5,49.802,0.71,264.248,59.275,152.056,557.539,10.214,37.4515,6.72,-3.09,0.01,2.55,54.494,3.413,13.21,2353.3,Silty,2.589,618.8,-1.23369,-22.649088,25.05,roadside,20.29,low,EN,0.173,6.61,0,0.393,Hybrid-synthetic (modeled from literature distributions)
R000735,Cedrus deodara var8,Deodar cedar (var8),tree,Oceania,New Zealand,2010,4.743,18.436,0.588,94.772,20.271,54.07,198.258,1.8506,6.7857,3.42,2.74,0.0403,3.699,130.568,0.58,16.34,1166.2,Loam,2.174,491.8,35.022224,-76.642572,28.95,urban_park,54.13,none,VU,0.177,22.56,0,0.373,Hybrid-synthetic (modeled from literature distributions)
R000736,Rosa spp. var7,Rose (var7),flower,Oceania,New Zealand,2006,1.362,0.0,,0.083,0.014,0.046,0.167,0.0229,0.0838,50.13,0.36,0.0546,1.393,1.219,0.13,21.38,1449.5,Clay,2.482,1019.1,26.060567,28.241007,31.57,urban_park,7.84,low,LC,0.13,14.73,0,0.185,Hybrid-synthetic (modeled from literature distributions)
R000737,Betula pendula,Silver birch (common),tree,Oceania,New Zealand,2010,15.183,27.033,0.8,887.852,277.978,547.94,2009.114,35.592,130.504,6.5,1.32,0.0389,0.5,74.832,2.473,16.81,741.6,Sandy,1.805,0.0,35.271273,-80.683243,26.34,garden,31.28,moderate,CR,0.424,21.33,0,0.01,Hybrid-synthetic (modeled from literature distributions)
R000738,Mangifera indica var6,Mango (var6),tree,North America,United States,2000,12.57,38.483,0.539,1003.081,321.717,622.655,2283.069,34.0253,124.7593,5.46,-0.6,0.0246,4.034,77.741,0.5,8.92,458.0,Sandy,1.028,747.0,36.405309,-21.782928,77.84,community_garden,14.77,low,VU,0.659,13.1,0,0.073,Hybrid-synthetic (modeled from literature distributions)
R000739,Delonix regia var6,Flame tree (var6),tree,Asia,China,2015,10.204,23.155,0.485,265.52,59.472,152.746,560.07,6.429,23.5732,4.21,-1.52,0.0154,4.422,99.086,0.5,27.99,1788.7,Sandy,3.197,0.0,0.613491,-36.323302,1.68,green_roof,84.11,none,LC,0.676,28.97,1,0.039,Hybrid-synthetic (modeled from literature distributions)
R000740,Moringa oleifera var7,Moringa (var7),tree,Oceania,Australia,2022,6.952,54.067,0.506,1028.269,350.453,647.999,2375.997,15.0512,55.1876,2.32,-3.0,0.0412,3.556,35.748,1.96,22.0,1148.4,Peaty,2.852,236.0,54.792781,122.322253,28.99,roadside,95.23,low,EN,0.812,22.37,0,0.104,Hybrid-synthetic (modeled from literature distributions)
R000741,Salix babylonica var8,Weeping willow (var8),tree,Europe,Italy,2020,8.795,57.529,0.567,1650.084,382.333,955.236,3502.532,35.4895,130.1281,3.72,-0.1,0.0373,3.412,48.306,1.916,7.59,327.2,Loam-Clay,2.435,31.1,-58.665986,97.300531,10.62,green_roof,41.19,high,DD,0.144,17.06,0,0.155,Hybrid-synthetic (modeled from literature distributions)
